MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model_year,Origin,Car_Name
8,8,307,130,3504,12,2015,1,chevrolet chevelle malibu
15,8,350,165,3693,11.5,2015,1,buick skylark 320
18,8,318,150,3436,11,2015,1,plymouth satellite
16,8,304,150,3433,12,2015,1,amc rebel sst
17,8,302,140,3449,10.5,2015,1,ford torino
15,8,429,198,4341,10,2015,1,ford galaxie 500
14,8,454,220,4354,9,2015,1,chevrolet impala
14,8,440,215,4312,8.5,2015,1,plymouth fury iii
14,8,455,225,4425,10,2015,1,pontiac catalina
15,8,390,190,3850,8.5,2015,1,amc ambassador dpl
15,8,383,170,3563,10,2015,1,dodge challenger se
14,8,340,160,3609,8,2015,1,plymouth 'cuda 340
15,8,400,150,3761,9.5,2015,1,chevrolet monte carlo
14,8,455,225,3086,10,2015,1,buick estate wagon (sw)
24,4,113,95,2372,15,2015,3,toyota corona mark ii
22,6,198,95,2833,15.5,2015,1,plymouth duster
18,6,199,97,2774,15.5,2015,1,amc hornet
21,6,200,85,2587,16,2015,1,ford maverick
27,4,97,88,2130,14.5,2015,3,datsun pl510
26,4,97,46,1835,20.5,2015,2,volkswagen 1131 deluxe sedan
25,4,110,87,2672,17.5,2015,2,peugeot 504
24,4,107,90,2430,14.5,2015,2,audi 100 ls
25,4,104,95,2375,17.5,2015,2,saab 99e
26,4,121,113,2234,12.5,2015,2,bmw 2002
21,6,199,90,2648,15,2015,1,amc gremlin
10,8,360,215,4615,14,2015,1,ford f250
10,8,307,200,4376,15,2015,1,chevy c20
11,8,318,210,4382,13.5,2015,1,dodge d200
9,8,304,193,4732,18.5,2015,1,hi 1200d
27,4,97,88,2130,14.5,2014,3,datsun pl510
28,4,140,90,2264,15.5,2014,1,chevrolet vega 2300
25,4,113,95,2228,14,2014,3,toyota corona
25,4,98,?,2046,19,2014,1,ford pinto
19,6,232,100,2634,13,2014,1,amc gremlin
16,6,225,105,3439,15.5,2014,1,plymouth satellite custom
17,6,250,100,3329,15.5,2014,1,chevrolet chevelle malibu
19,6,250,88,3302,15.5,2014,1,ford torino 500
18,6,232,100,3288,15.5,2014,1,amc matador
14,8,350,165,4209,12,2014,1,chevrolet impala
14,8,400,175,4464,11.5,2014,1,pontiac catalina brougham
14,8,351,153,4154,13.5,2014,1,ford galaxie 500
14,8,318,150,4096,13,2014,1,plymouth fury iii
12,8,383,180,4955,11.5,2014,1,dodge monaco (sw)
13,8,400,170,4746,12,2014,1,ford country squire (sw)
13,8,400,175,5140,12,2014,1,pontiac safari (sw)
18,6,258,110,2962,13.5,2014,1,amc hornet sportabout (sw)
22,4,140,72,2408,19,2014,1,chevrolet vega (sw)
19,6,250,100,3282,15,2014,1,pontiac firebird
18,6,250,88,3139,14.5,2014,1,ford mustang
23,4,122,86,2220,14,2014,1,mercury capri 2000
28,4,116,90,2123,14,2014,2,opel 1900
30,4,79,70,2074,19.5,2014,2,peugeot 304
30,4,88,76,2065,14.5,2014,2,fiat 124b
31,4,71,65,1773,19,2014,3,toyota corolla 1200
35,4,72,69,1613,18,2014,3,datsun 1200
27,4,97,60,1834,19,2014,2,volkswagen model 111
26,4,91,70,1955,20.5,2014,1,plymouth cricket
24,4,113,95,2278,15.5,2013,3,toyota corona hardtop
25,4,97.5,80,2126,17,2013,1,dodge colt hardtop
23,4,97,54,2254,23.5,2013,2,volkswagen type 3
20,4,140,90,2408,19.5,2013,1,chevrolet vega
21,4,122,86,2226,16.5,2013,1,ford pinto runabout
13,8,350,165,4274,12,2013,1,chevrolet impala
14,8,400,175,4385,12,2013,1,pontiac catalina
15,8,318,150,4135,13.5,2013,1,plymouth fury iii
14,8,351,153,4129,13,2013,1,ford galaxie 500
17,8,304,150,3672,11.5,2013,1,amc ambassador sst
11,8,429,208,4633,11,2013,1,mercury marquis
13,8,350,155,4502,13.5,2013,1,buick lesabre custom
12,8,350,160,4456,13.5,2013,1,oldsmobile delta 88 royale
13,8,400,190,4422,12.5,2013,1,chrysler newport royal
19,3,70,97,2330,13.5,2013,3,mazda rx2 coupe
15,8,304,150,3892,12.5,2013,1,amc matador (sw)
13,8,307,130,4098,14,2013,1,chevrolet chevelle concours (sw)
13,8,302,140,4294,16,2013,1,ford gran torino (sw)
14,8,318,150,4077,14,2013,1,plymouth satellite custom (sw)
18,4,121,112,2933,14.5,2013,2,volvo 145e (sw)
22,4,121,76,2511,18,2013,2,volkswagen 411 (sw)
21,4,120,87,2979,19.5,2013,2,peugeot 504 (sw)
26,4,96,69,2189,18,2013,2,renault 12 (sw)
22,4,122,86,2395,16,2013,1,ford pinto (sw)
28,4,97,92,2288,17,2013,3,datsun 510 (sw)
