"gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","PaperlessBilling","MonthlyCharges","TotalCharges","Churn","MultipleLinesNo phone service","MultipleLinesYes","InternetServiceFiber optic","InternetServiceNo","OnlineSecurityNo internet service","OnlineSecurityYes","OnlineBackupNo internet service","OnlineBackupYes","DeviceProtectionNo internet service","DeviceProtectionYes","TechSupportNo internet service","TechSupportYes","StreamingTVNo internet service","StreamingTVYes","StreamingMoviesNo internet service","StreamingMoviesYes","ContractOne year","ContractTwo year","PaymentMethodCredit card (automatic)","PaymentMethodElectronic check","PaymentMethodMailed check"
0,0,1,1,45,1,1,81,3533.6,"No",0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1
1,0,0,0,4,1,1,81,340.85,"Yes",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,1,1,18,1,1,20.25,401.95,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,0,1,0,53,1,1,93.45,4872.2,"No",0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0
0,1,1,0,3,1,1,74.6,239.05,"No",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,28,0,0,50.8,1386.8,"No",1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1
0,0,0,1,8,1,0,19.95,170.9,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,0,1,0,47,1,0,19.65,921.55,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
0,0,0,0,5,0,1,50.95,229.4,"No",1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,1,1,21,1,1,74.05,1565.7,"Yes",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,72,1,1,106.85,7677.4,"No",0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
1,1,0,1,7,1,1,45.75,344.2,"No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,72,1,1,116.95,8594.4,"No",0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
0,0,0,0,53,0,1,53.6,2879.2,"No",1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
1,0,1,1,24,1,1,56.25,1454.25,"No",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0,1,0,48,1,1,20.05,1036,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
0,0,1,1,14,1,1,91.65,1301,"Yes",0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
0,0,1,1,68,1,1,109.05,7508.55,"No",0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0
1,0,1,1,68,1,0,82.85,5776.45,"No",0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0
1,1,1,1,72,1,1,115.75,8399.15,"No",0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
1,0,0,0,2,1,1,70.3,144,"No",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,0,0,10,1,1,79.25,793.55,"Yes",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,1,0,65,1,0,71,4386.2,"No",0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
0,0,0,0,5,1,1,80,412.5,"Yes",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,7,1,0,61.4,438.9,"No",0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,0,1,53,1,0,95.95,5036.9,"No",0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0
1,0,0,0,3,1,1,50.25,152.3,"No",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,1,1,34,1,1,20.1,682.1,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
0,0,0,0,12,0,0,49.85,552.1,"No",1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1
0,0,1,1,68,1,1,103.75,7039.45,"No",0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0
1,0,1,1,62,1,1,24.25,1424.6,"No",0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
0,0,1,1,45,1,1,24.65,1138.8,"No",0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
0,1,1,0,1,1,1,20.85,20.85,"Yes",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
1,0,1,1,68,1,1,103.25,7074.4,"No",0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0
1,0,1,1,38,1,0,19.6,717.3,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
0,0,1,1,69,1,1,103.95,7446.9,"Yes",0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,0,0,72,1,1,112.75,8192.6,"No",0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
0,1,0,0,1,1,1,69.95,69.95,"Yes",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,25,1,1,102.8,2660.2,"Yes",0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0,0,5,0,0,39.5,210.75,"Yes",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,0,1,0,64,1,0,19.45,1208.6,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
1,0,1,1,70,1,1,106.05,7554.05,"No",0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
