Request id,Date,Request time,Dropoff time,Pickup point,Driver id,Status
1,11-07-2016,00:11:31,12:43:12 AM,Airport,285,Trip Completed
2,11-07-2016,00:12:58,NA,Airport,NA,No Cars Available
3,11-07-2016,00:12:58,1:19:12 AM,Airport,80,Trip Completed
4,11-07-2016,00:20:10,NA,City,NA,No Cars Available
5,11-07-2016,00:23:02,1:23:31 AM,Airport,264,Trip Completed
6,11-07-2016,00:25:55,NA,City,NA,No Cars Available
7,11-07-2016,00:25:55,NA,Airport,NA,No Cars Available
8,11-07-2016,00:27:22,NA,City,NA,No Cars Available
9,11-07-2016,00:36:00,1:43:41 AM,Airport,235,Trip Completed
10,11-07-2016,00:43:12,1:48:00 AM,City,228,Trip Completed
11,11-07-2016,00:51:50,1:37:55 AM,City,198,Trip Completed
12,11-07-2016,00:53:17,NA,City,NA,No Cars Available
13,11-07-2016,00:56:10,1:46:34 AM,City,119,Trip Completed
14,11-07-2016,00:57:36,NA,Airport,NA,No Cars Available
15,11-07-2016,01:00:29,NA,City,NA,No Cars Available
16,11-07-2016,01:03:22,NA,Airport,NA,No Cars Available
17,11-07-2016,01:03:22,NA,Airport,NA,No Cars Available
18,11-07-2016,01:03:22,NA,City,201,Cancelled
19,11-07-2016,01:04:48,NA,City,NA,No Cars Available
20,11-07-2016,01:07:41,NA,Airport,NA,No Cars Available
21,11-07-2016,01:14:53,1:50:53 AM,Airport,194,Trip Completed
22,11-07-2016,01:22:05,NA,Airport,NA,No Cars Available
23,11-07-2016,01:24:58,NA,City,NA,No Cars Available
24,11-07-2016,01:36:29,NA,Airport,NA,No Cars Available
25,11-07-2016,01:37:55,NA,Airport,NA,No Cars Available
26,11-07-2016,01:42:14,NA,Airport,NA,No Cars Available
27,11-07-2016,01:46:34,NA,Airport,NA,No Cars Available
28,11-07-2016,01:48:00,NA,City,NA,No Cars Available
29,11-07-2016,01:50:53,NA,City,NA,No Cars Available
30,11-07-2016,01:52:19,2:22:34 AM,Airport,297,Trip Completed
31,11-07-2016,01:53:46,NA,City,NA,No Cars Available
32,11-07-2016,02:03:50,NA,Airport,NA,No Cars Available
33,11-07-2016,02:06:43,3:18:43 AM,Airport,170,Trip Completed
34,11-07-2016,02:09:36,3:24:29 AM,City,78,Trip Completed
